index,name,minutes,n_steps,steps,ingredients,n_ingredients
46,pad thai,30,13,"[""mix together sauce ingredients and set aside"", ""prepare noodles according to package directions , leaving slightly al dente"", ""scramble eggs and cook completely in large skillet or wok"", ""remove eggs from pan and set aside"", ""add oil to pan"", ""after heated , add minced garlic , carrots and mushrooms , cook approximately 2-3 minutes"", ""add sauce mixture to pan , stir to combine"", ""add green onion , eggs , chicken , shrimp , and peanuts to pan"", ""cook and stir about 2 minutes , until heated through"", ""add noodles and bean sprouts to pan"", ""cook approximately 2 minutes more"", ""serve with lime wedges to squeeze over the entree"", ""add crushed red pepper , if desired""]","[""fish sauce"", ""rice vinegar"", ""tomato paste"", ""sugar"", ""rice noodles"", ""eggs"", ""canola oil"", ""garlic cloves"", ""baby carrots"", ""sliced mushrooms"", ""green onions"", ""boneless skinless chicken breast"", ""shrimp"", ""dry-roasted unsalted peanuts"", ""bean sprouts"", ""lime"", ""crushed red pepper flakes""]",17
47,pancakes,18,8,"[""heat griddle , skillet or electric griddle over medium high to 375 f"", ""grease with cooking spray , vegetable oil or shortening"", ""stir all ingredients until blended"", ""pour by slightly less than 1 / 4 cupful onto hot griddle"", ""cook until edges are dry"", ""turn & cook until golden"", ""for thinner pancakes , use 1 1 / 2 cups milk"", ""high altitude no changes""]","[""bisquick"", ""milk"", ""eggs""]",3
48,panna cotta,6,11,"[""in a medium saucepan sprinkle the contents of the gelatin packet over the half and half and let stand for 5 minutes"", ""over low heat stir the gelatin mixture until it totally dissolves"", ""add the heavy cream"", ""add half of the vanilla and sugar"", ""stir again over the low heat until the sugar is dissolved"", ""taste and add remaining vanilla if you wish"", ""wipe the insides of 4-1 / 2 cup ramekins with a light coating of canola oil"", ""ladle in the cream mixture and let stand until cool"", ""place in the fridge for 4 hours"", ""you can serve in the dishes or invert"", ""serve with fresh fruit""]","[""half-and-half"", ""unflavored gelatin"", ""heavy cream"", ""pure vanilla extract"", ""white sugar""]",5
49,pizza,250,24,"[""place 28-ounce can of crushed tomatoes in fine-mesh strainer set over medium bowl"", ""let sit 30 minutes , stirring 3 times to allow juices to drain"", ""combine 3 / 4 cup tomato solids , 1 tablespoon olive oil , and 1 / 8 teaspoon table salt"", ""place towel or shelf liner beneath stand mixer to prevent wobbling"", ""mix flour , water , and table salt in bowl of stand mixer fitted with dough hook on low speed until no patches of dry flour remain , 3 to 4 minutes , occasionally scraping sides and bottom of bowl"", ""turn off mixer and let dough rest 20 minutes"", ""sprinkle yeast and sugar over dough"", ""knead on low speed until fully combined , 1 to 2 minutes , occasionally scraping sides and bottom of bowl"", ""increase mixer speed to high and knead until dough is glossy , smooth , and pulls away from sides of bowl , 6 to 10 minutes"", ""using fingers , coat large bowl with 1 tablespoon oil , rubbing excess oil from fingers onto blade of rubber spatula"", ""using oiled spatula , transfer dough to bowl and pour 1 tablespoon oil over top"", ""flip dough over once so it is well coated with oil"", ""cover tightly with plastic wrap"", ""let dough rise at room temperature until nearly tripled in volume and large bubbles have formed , 2 to 2-1 / 2 hours"", ""one hour before baking pizza , adjust oven rack to middle position , place pizza stone on rack , and heat oven to 450 degrees fahrenheit"", ""coat rimmed baking sheet with 2 tablespoons oil"", ""using rubber spatula , turn dough out onto baking sheet along with any oil in bowl"", ""using finger"", ""let dough rest in pan until slightly bubbly , 5 to 10 minutes"", ""using a dinner fork , poke surface of dough 30 to 40 times"", ""sprinkle with kosher salt"", ""bake until spotty brown , 15 to 17 minutes , rotating baking sheet halfway through baking"", ""using metal spatula , remove pizza from oven , spread tomato mixture evenly over surface , and sprinkle with shredded mozzarella"", ""return pizza to oven and continue to bake until cheese begins to brown in spots , 5 to 10 minutes longer""]","[""crushed tomatoes"", ""olive oil"", ""table salt"", ""mozzarella cheese"", ""all-purpose flour"", ""water"", ""instant yeast"", ""sugar"", ""extra virgin olive oil""]",9
50,red velvet cake,180,19,"[""cake:"", ""preheat oven to 350 degrees f"", ""in a mixing bowl , cream the sugar and butter , beat until light and fluffy"", ""add the eggs one at a time and mix"", ""mix cocoa and food coloring together and then add to sugar mixture"", ""mix well"", ""sift together flour and salt"", ""add flour mixture to the creamed mixture alternating with buttermilk"", ""blend in vanilla"", ""in a small bowl , combine baking soda and vinegar and add to mixture"", ""pour batter into 3 round greased and floured pans"", ""bake for 20 to 25 minutes , or until a toothpick inserted into the center comes out clean"", ""remove from heat and cool completely before frosting"", ""icing:"", ""blend cream cheese and butter together in a mixing bowl"", ""add marshmallows and sugar and blend"", ""fold in coconut and nuts"", ""spread between layers and on top and sides of cooled cake"", ""bon apptit !""]","[""sugar"", ""butter"", ""eggs"", ""cocoa powder"", ""red food coloring"", ""cake flour"", ""salt"", ""buttermilk"", ""vanilla extract"", ""baking soda"", ""vinegar"", ""cream cheese"", ""marshmallows"", ""\""confectioners' sugar\"", 'shredded coconut"", ""pecans""]",16
51,risotto,35,11,"[""mix the water and chicken soup powder and bring to a boil"", ""\""it's better to prepare just a little extra rather than too little\"", 'lower the heat and maintain a simmer"", ""melt the butter in a pan and saute the onion and celery in it for 2 to 3 minutes , until translucent but not browned"", ""add the rice and stir for one minute to thoroughly coat the rice with oil"", ""\""don't break the rice\"", 'add half the wine and stir constantly until it is absorbed"", ""pour in the simmering chicken stock , 1 / 2 cup at a time , stirring after each addition until it is absorbed"", ""it should take about 18 to 20 minutes to cook the rice"", ""reduce the stock added toward the end and increase the frequency , tasting for the point where it is tender but al dente"", ""remove the risotto from the heat and quickly stir in the last of the wine as well as the grated cheese and the peas""]","[""water"", ""vegetarian chicken soup mix"", ""butter"", ""onion"", ""celery"", ""risotto rice"", ""dry white wine"", ""parmesan cheese"", ""frozen peas""]",9
52,samosa,60,13,"[""cook potatoes and carrot in boiling , salted water until tender - about 10 minutes"", ""drain and partially mash them"", ""mist non-stick frying pan with cooking spray"", ""saut onion until softened , about 2 minutes"", ""stir onion , peas , cumin , ground coriander , chilli powder , turmeric , garlic puree and fresh coriander or mint into potatoes and carrots"", ""season to taste"", ""cool completely"", ""preheat oven to gas mark 4 / 180c / 350f mist baking sheets with spray cooking oil"", ""cut filo pastry sheets into strips , measuring approximately 30 cm x 10 cm"", ""place a tablespoon of mixture at one end of a pastry strip"", ""fold over and over to make a triangle"", ""repeat to make 20 samosas"", ""mist with cooking spray , place onto baking sheets and bake for 25 - 30 minutes , until golden""]","[""potatoes"", ""cooking spray"", ""carrot"", ""onion"", ""frozen green peas"", ""ground cumin"", ""ground coriander"", ""chili powder"", ""ground turmeric"", ""garlic clove"", ""fresh cilantro"", ""table salt"", ""black pepper"", ""phyllo dough""]",14
55,seaweed salad,10,6,"[""soak seaweed in warm water to cover , 5 minutes"", ""drain , rinse then squeeze out excess water"", ""if wakame is uncut , cut into 1 / 2-inch-wide strips"", ""stir together vinegar , soy sauce , sesame oil , sugar , pepper flakes , ginger , and garlic in a bowl until sugar is dissolved"", ""add the seaweed , scallions , carrots , and cilantro , tossing to combine well"", ""sprinkle salad with sesame seeds""]","[""wakame seaweed"", ""rice vinegar"", ""soy sauce"", ""sesame oil"", ""sugar"", ""red pepper flakes"", ""ginger"", ""garlic"", ""scallions"", ""carrot"", ""fresh cilantro"", ""sesame seeds""]",12
56,spring rolls,33,21,"[""heat peanut oil in wok or skillet over medium high heat"", ""add broccoli slaw mixture , onions and pepper"", ""add salt and pepper to taste"", ""cook for 2-3 minutes , maintaining the crispness of the vegetables"", ""removed from heat and put vegetables in medium bowl"", ""meantime , put noodles in hot water and cover for 10 minutes"", ""drain noodles and chop to make smaller pieces"", ""add noodles to vegetables"", ""add sesame oil and soy sauce"", ""stir to combine ingredients"", ""to prepare rolls:"", ""take individual rice paper and add to hot water"", ""remove paper after it softens"", ""remove paper and place on a surface , such as a cloth , to which it will not stick"", ""place about a tablespoon or so of the vegetable filling into the roll"", ""start by pulling the paper over the filling"", ""then roll like you would a burrito"", ""repeat the process"", ""to serve:"", ""use any prepared dipping sauce"", ""i like using a thai spicy peanut sauce with it""]","[""peanut oil"", ""broccoli"", ""green onions"", ""red pepper"", ""salt and pepper"", ""sesame oil"", ""soy sauce"", ""rice noodles"", ""basil"", ""rice paper""]",10
57,strawberry shortcake,65,8,"[""cut up strawberries and cover with sugar"", ""let sit in the refrigerator for several hours"", ""blend cream cheese , sugar , and vanilla"", ""add cool whip to the mixture"", ""spread on top of cake"", ""top cake with strawberries"", ""be careful to not put too much of the juice on the cake , or else it will be too moist"", ""refrigerate for an hour""]","[""angel food cake"", ""cream cheese"", ""sugar"", ""cool whip"", ""vanilla extract"", ""strawberry""]",6
58,sushi,2,1,"[""put the fish on top of the rice""]","[""fresh tuna"", ""cooked sushi rice""]",2
13,baked donuts,45,22,"[""place 1 / 3 cup of the warm milk in the bowl of an electric mixer"", ""stir in the yeast and set aside for five minutes or so"", ""\""be sure your milk isn't too hot or it will kill the yeast\"", 'stir the butter and sugar into the remaining cup of warm milk and add it to the yeast mixture"", ""with a fork , stir in the eggs , flour , nutmeg and salt , just until the flour is incorporated"", ""with the dough hook attachment of your mixer beat the dough for a few minutes at medium speed"", ""this is where you are going to need to make adjustments - if your dough is overly sticky , add flour a few tablespoons at a time"", ""too dry ? add more milk a bit at a time"", ""you want the dough to pull away from the sides of the mixing bowl and eventually become supple and smooth"", ""turn it out onto a floured counter-top , knead a few times , and shape into a ball"", ""transfer the dough to a buttered bowl , cover , put in a warm place , and let rise for an hour or until the dough has roughly doubled in size"", ""punch down the dough and roll it out 1 / 2-inch thick on your floured countertop"", ""\""most people don't have a doughnut cutter , instead i use a 2-3 inch cookie cutter to stamp out circles\"", 'transfer the circles to a parchment-lined baking sheet and stamp out the smaller inner circles using a smaller cutter"", ""if you cut the inner holes out any earlier , they become distorted when you attempt to move them"", ""cover with a clean cloth and let rise for another 45 minutes"", ""bake in a 375 oven until the bottoms are just golden , 8-10 minutes - start checking after 8"", ""meanwhile , place the butter in a medium bowl"", ""place the sugar and cinnamon in a separate bowl"", ""remove the doughnuts from the oven and let cool for just a minute or two"", ""dip each one in the melted butter and a quick toss in the sugar bowl"", ""serve immediately""]","[""milk"", ""active dry yeast"", ""butter"", ""granulated sugar"", ""eggs"", ""all-purpose flour"", ""nutmeg"", ""sea salt"", ""unsalted butter"", ""sugar"", ""cinnamon""]",11
33,baked scallops,25,5,"[""preheat oven to 400"", ""pour melted butter into a 2 quart casserole dish"", ""combine the bread crumbs , onion powder , garlic powder , paprika , parsley , minced garlic and parmesan cheese"", ""top scallops with above mixture"", ""bake about 20 minutes""]","[""butter"", ""bay scallops"", ""seasoned dry bread crumb"", ""onion powder"", ""garlic powder"", ""paprika"", ""dried parsley"", ""garlic cloves"", ""parmesan cheese""]",9
